Price,Close,High,Low,Open,Volume
Ticker,DCRA11.SA,DCRA11.SA,DCRA11.SA,DCRA11.SA,DCRA11.SA
Date,,,,,
2023-07-25,7.696800231933594,7.7210546374575255,7.6078661266230965,7.68063011422854,14850
2023-07-26,7.648292541503906,7.712971486253863,7.632122419799497,7.704886425401659,23315
2023-07-27,7.704883575439453,7.704883575439453,7.599780136339062,7.632119596751986,17317
2023-07-28,7.67254638671875,7.712970916962213,7.6159525069981715,7.712970916962213,20074
2023-07-31,7.632122993469238,7.680632591194858,7.518935217165956,7.672547529734938,46177
2023-08-01,7.696800231933594,7.712969578604999,7.62403624432815,7.648290649852082,23867
2023-08-02,7.72105598449707,7.73722533398943,7.672546393952423,7.72105598449707,18397
2023-08-03,7.72105598449707,7.72105598449707,7.672546393952423,7.72105598449707,25067
2023-08-04,7.688715934753418,7.7372247506067415,7.276387144831537,7.680630875099955,87653
2023-08-07,7.7453107833862305,7.753395844055506,7.68871690076895,7.729141433081503,21981
2023-08-08,7.671624183654785,7.745311201323803,7.499688069365216,7.745311201323803,34292
2023-08-09,7.5815629959106445,7.696186555929373,7.565187755442574,7.696186555929373,21562
2023-08-10,7.647060871124268,7.671622946113593,7.54881179035268,7.581561483943209,23477
2023-08-11,7.630685806274414,7.671623119390789,7.614311349516447,7.647061043846686,18008
2023-08-14,7.630685806274414,7.68799835696306,7.614311349516447,7.630685806274414,21722
2023-08-15,7.622499942779541,7.712561418497777,7.548812925912618,7.687999339813604,44328
2023-08-16,7.589749336242676,7.638873487733924,7.565186479682742,7.638873487733924,24926
2023-08-17,7.573375701904297,7.647062725555844,7.532438379785162,7.589750943077741,33519
2023-08-18,7.556999683380127,7.573374922869132,7.499687906797399,7.573374922869132,36460
2023-08-21,7.516063213348389,7.5651873706249235,7.499687973713276,7.556999750807367,40531
2023-08-22,7.573375701904297,7.573375701904297,7.507876298839472,7.532438379785162,25419
2023-08-23,7.5324387550354,7.573376079193946,7.524251134040789,7.573376079193946,26354
2023-08-24,7.499687194824219,7.565186584933348,7.426000185747868,7.532436889878783,59676
2023-08-25,7.3686909675598145,7.524251877760991,7.295003932953882,7.442378002165747,64019
2023-08-28,7.303191184997559,7.417815542004983,7.286815942218833,7.376878215872721,80742
2023-08-29,7.360500335693359,7.442374958620722,7.311376186588358,7.385063191060131,32326
2023-08-30,7.450564384460449,7.458751224087761,7.368689741671647,7.368689741671647,29036
2023-08-31,7.5324387550354,7.5324387550354,7.434189645543599,7.4423772665382115,32590
2023-09-01,7.597935676574707,7.61431091320866,7.516061835847715,7.556998365804081,24908
2023-09-04,7.6061248779296875,7.647062197220464,7.532437859369176,7.58975041870203,40154
2023-09-05,7.6061248779296875,7.6798118964902,7.565187558638912,7.573375178659951,23110
